;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
oktober;;november;;december;;januari;;februari;;;maart;;;april;;;mei;;;juni;;;juli;;;;augustus;;;september;;oktober;
Maand;;Maand;Activiteit;Maand;Activiteit;Maand;Activiteit;Maand;;Activiteit;Maand;;Activiteit;Maand;Hypertrophie fase;Activiteit;Maand;;Activiteit;Maand;;Activiteit;Maand;max strength;Anaerobe capaciteit;Activiteit;Maand;;Activiteit;Maand;Activiteit;Maand;Activiteit
1/okt.;;1/nov.;;1/dec.;C1 Manchester;1/jan.;;1/feb.;;WK Milton;1/mrt.;;;1/apr.;;;1/mei;;10-13u;1/jun.;;;1/jul.;;;STO;1/aug.;Herstel;;1/sep.;Tokyo;1/okt.;
20/okt.;;20/nov.;;20/dec.;Moiraira;20/jan.;;20/feb.;;Zelf Duur;20/mrt.;;;20/apr.;;;20/mei;;;20/jun.;;;20/jul.;;;;20/aug.;;Tokyo;20/sep.;;20/okt.;
21/okt.;;21/nov.;;21/dec.;Moiraira;21/jan.;;21/feb.;;Zelf Duur;21/mrt.;;;21/apr.;;10-13u;21/mei;;;21/jun.;;;21/jul.;;;10-13u;21/aug.;;Tokyo;21/sep.;;21/okt.;
22/okt.;;22/nov.;;22/dec.;;22/jan.;;22/feb.;;Zelf Duur;22/mrt.;;;22/apr.;;;22/mei;;Alkm 11-13u;22/jun.;max strength;10-13u (ovb);22/jul.;;;STO;22/aug.;;Tokyo;22/sep.;;22/okt.;
23/okt.;;23/nov.;;23/dec.;;23/jan.;;23/feb.;;Zelf Duur;23/mrt.;;;23/apr.;;;23/mei;Conditie ;;23/jun.;;;23/jul.;;;;23/aug.;;Tokyo;23/sep.;;23/okt.;
24/okt.;;24/nov.;;24/dec.;;24/jan.;pre wk;24/feb.;;Zelf Duur;24/mrt.;;10-13u;24/apr.;;10-13u;24/mei;;;24/jun.;;STO;24/jul.;;;10-13u;24/aug.;;Tokyo;24/sep.;;24/okt.;
25/okt.;;25/nov.;;25/dec.;;25/jan.;pre wk;25/feb.;;Zelf Duur;25/mrt.;;;25/apr.;;;25/mei;;14-16u;25/jun.;;;25/jul.;;Relatief Herstel;;25/aug.;;Tokyo;25/sep.;;25/okt.;
26/okt.;;26/nov.;;26/dec.;;26/jan.;pre wk;26/feb.;;Zelf Duur;26/mrt.;;;26/apr.;;;26/mei;;10-13u;26/jun.;;;26/jul.;;;;26/aug.;;Tokyo;26/sep.;;26/okt.;
27/okt.;;27/nov.;;27/dec.;NK Baan?;27/jan.;pre wk;27/feb.;;Zelf Duur;27/mrt.;;10-13u;27/apr.;;;27/mei;;;27/jun.;;;27/jul.;;;;27/aug.;;B 1km;27/sep.;;27/okt.;
28/okt.;;28/nov.;;28/dec.;NK Baan?;28/jan.;pre wk;28/feb.;;Zelf Duur;28/mrt.;;;28/apr.;;10-13u;28/mei;;;28/jun.;;;28/jul.;;;Alkm11-13;28/aug.;;C5 500m;28/sep.;;28/okt.;
29/okt.;;29/nov.;C1 Manchester;29/dec.;NK Baan?;29/jan.;pre wk;29-feb;;Zelf Duur;29/mrt.;;;29/apr.;;;29/mei;;Alkm 11-13u;29/jun.;;;29/jul.;;;;29/aug.;;Tokyo;29/sep.;;29/okt.;
30/okt.;;30/nov.;C1 Manchester;30/dec.;NK Baan?;30/jan.;WK Milton;;;;30/mrt.;;;30/apr.;;;30/mei;;;30/jun.;;10-13u;30/jul.;;;;30/aug.;;Tokyo;30/sep.;;30/okt.;
31/okt.;;;;31/dec.;;31/jan.;WK Milton;;;;31/mrt.;;10-13u;;;;31/mei;;;;;;31/jul.;;;Alkm 11-13;31/aug.;;Tokyo;;;31/okt.;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;
